City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (Last 3 hrs),Snow Inches (Last 3 hrs)
131,Cherskiy,RU,2020-04-18 03:17:45,68.75,161.3,10.63,91,49,9.82,scattered clouds,0.0,0.0
132,Bethel,US,2020-04-18 03:16:29,41.37,-73.41,37.0,93,90,5.82,light rain,0.0,0.0
133,Tasiilaq,GL,2020-04-18 03:17:46,65.61,-37.64,35.6,55,73,13.87,snow,0.0,2.06
134,Qaanaaq,GL,2020-04-18 03:17:46,77.48,-69.36,11.48,80,13,8.03,few clouds,0.0,0.0
135,Diego De Almagro,CL,2020-04-18 03:17:46,-26.37,-70.05,58.35,46,0,0.43,clear sky,0.0,0.0
136,Dudinka,RU,2020-04-18 03:17:46,69.41,86.18,30.2,86,100,24.61,overcast clouds,0.0,0.0
137,Torbay,CA,2020-04-18 03:17:47,47.67,-52.73,30.99,63,75,10.29,broken clouds,0.0,0.0
138,Calabozo,VE,2020-04-18 03:17:47,8.92,-67.43,85.48,45,38,7.43,light rain,0.24,0.0
139,Tupik,RU,2020-04-18 03:17:47,54.43,119.93,24.64,86,100,13.13,light snow,0.0,0.74
140,Sao Filipe,CV,2020-04-18 03:15:05,14.9,-24.5,70.12,76,0,18.5,clear sky,0.0,0.0
141,Conde,BR,2020-04-18 03:17:48,-7.26,-34.91,78.8,94,20,1.77,few clouds,0.0,0.0
142,Vung Tau,VN,2020-04-18 03:13:50,10.35,107.08,85.68,68,95,9.57,overcast clouds,0.0,0.0
143,Srandakan,ID,2020-04-18 03:17:48,-7.94,110.25,86.14,64,4,1.63,clear sky,0.0,0.0
144,Esso,RU,2020-04-18 03:17:49,55.93,158.7,34.66,64,0,3.78,clear sky,0.0,0.0
145,Leningradskiy,RU,2020-04-18 03:17:49,69.38,178.42,11.07,94,100,10.42,light snow,0.0,0.12
146,Port Alfred,ZA,2020-04-18 03:17:50,-33.59,26.89,64.0,94,55,3.0,broken clouds,0.0,0.0
147,Petrozavodsk,RU,2020-04-18 03:13:36,61.78,34.35,32.0,92,83,8.95,broken clouds,0.0,0.0
