City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
180,Aswan,EG,2020-04-15 05:22:20,24.09,32.91,64.4,27,0,4.7
181,Carmen,MX,2020-04-15 05:24:26,18.63,-91.83,79.75,87,15,5.57
182,Santa Isabel,BR,2020-04-15 05:24:26,-23.32,-46.22,64.4,88,40,6.93
183,Gamovo,RU,2020-04-15 05:24:26,57.87,56.11,44.6,63,2,8.95
184,Ancud,CL,2020-04-15 05:24:26,-41.87,-73.82,50.0,100,90,17.22
185,Chegdomyn,RU,2020-04-15 05:24:27,51.12,133.02,51.15,35,0,6.04
186,Mount Gambier,AU,2020-04-15 05:24:27,-37.83,140.77,78.8,22,100,17.22
187,Orlik,RU,2020-04-15 05:24:27,52.52,99.83,38.35,36,0,3.27
188,Namibe,AO,2020-04-15 05:24:27,-15.2,12.15,74.53,70,31,3.51
189,Clyde River,CA,2020-04-15 05:21:48,70.47,-68.59,-4.0,83,1,2.24
190,Palauig,PH,2020-04-15 05:24:28,15.44,119.9,84.78,65,28,7.58
191,Olean,US,2020-04-15 05:24:28,42.08,-78.43,32.0,100,40,3.74
192,Champerico,GT,2020-04-15 05:24:28,14.3,-91.92,82.38,73,99,6.31
193,Makokou,GA,2020-04-15 05:24:28,0.57,12.86,72.75,84,100,0.36
194,Wanning,CN,2020-04-15 05:24:28,18.8,110.4,77.58,64,67,4.65
195,Tilichiki,RU,2020-04-15 05:24:29,60.47,166.1,23.97,96,100,6.8
196,Kondinskoye,RU,2020-04-15 05:24:29,59.65,67.41,42.35,75,27,5.66
197,Lavrentiya,RU,2020-04-15 05:24:29,65.58,-171.0,29.03,98,99,7.87
198,Ponta Do Sol,PT,2020-04-15 05:24:29,32.67,-17.1,57.99,67,20,4.7
199,Ust-Kuyga,RU,2020-04-15 05:24:30,70.02,135.6,10.96,93,100,12.68
200,Riyadh,SA,2020-04-15 05:21:39,24.69,46.72,69.8,28,75,11.41
201,Pacific Grove,US,2020-04-15 05:24:30,36.62,-121.92,60.01,62,1,6.93
202,Iaciara,BR,2020-04-15 05:24:30,-14.1,-46.63,70.3,81,100,2.44
203,Vallenar,CL,2020-04-15 05:24:30,-28.57,-70.76,54.88,57,8,1.34
204,Yerbogachen,RU,2020-04-15 05:24:31,61.28,108.01,47.32,62,41,6.08
205,Maniitsoq,GL,2020-04-15 05:24:31,65.42,-52.9,23.86,84,73,9.04
206,George Town,MY,2020-04-15 05:21:18,5.41,100.34,91.4,66,20,5.82
207,Fortaleza,BR,2020-04-15 05:24:31,-3.72,-38.52,80.6,83,75,2.24
208,Santa Cruz,BO,2020-04-15 05:21:29,-17.8,-63.17,71.6,56,40,13.87
209,Constitucion,CL,2020-04-15 05:21:13,-35.33,-72.42,53.73,59,55,2.15
210,Walvis Bay,NA,2020-04-15 05:24:32,-22.96,14.51,55.99,100,0,5.82
211,Kaitangata,NZ,2020-04-15 05:24:32,-46.28,169.85,51.01,76,100,5.01
212,Sol-Iletsk,RU,2020-04-15 05:24:32,51.16,54.99,51.26,53,98,18.68
213,Shebalino,RU,2020-04-15 05:24:32,51.29,85.68,57.11,32,63,3.24
214,Mineiros,BR,2020-04-15 05:24:33,-17.57,-52.55,66.61,76,70,2.26
215,Roma,US,2020-04-15 05:23:39,43.21,-75.46,36.0,80,90,16.11
216,Porto Walter,BR,2020-04-15 05:24:33,-8.27,-72.74,73.8,83,31,0.98
217,Bonfim,BR,2020-04-15 05:24:33,3.08,-59.95,79.77,55,76,10.27
218,Khatanga,RU,2020-04-15 05:24:33,71.97,102.5,7.11,90,69,3.33
219,Port Macquarie,AU,2020-04-15 05:22:57,-31.43,152.92,81.0,57,26,10.22
220,Namwala,ZM,2020-04-15 05:24:34,-15.75,26.44,69.78,54,50,3.38
221,Arman,RU,2020-04-15 05:24:34,59.7,150.17,30.72,91,84,3.0
222,Balabac,PH,2020-04-15 05:24:34,7.99,117.06,86.45,65,6,11.16
223,Aparecida Do Taboado,BR,2020-04-15 05:24:34,-20.09,-51.09,68.36,86,48,6.02
224,Belmonte,BR,2020-04-15 05:24:35,-15.86,-38.88,73.4,94,14,4.7
225,Portland,US,2020-04-15 05:21:24,45.52,-122.68,54.0,66,20,5.82
226,Bismil,TR,2020-04-15 05:24:35,37.85,40.67,51.8,76,39,4.7
227,Samarai,PG,2020-04-15 05:24:35,-10.62,150.67,83.93,77,4,10.65
228,Teguise,ES,2020-04-15 05:24:36,29.06,-13.56,59.0,77,15,5.82
229,Fortuna,US,2020-04-15 05:24:36,40.6,-124.16,51.01,76,1,3.36
230,Solwezi,ZM,2020-04-15 05:24:36,-12.17,26.39,65.62,64,96,3.27
231,Tamandare,BR,2020-04-15 05:24:36,-8.76,-35.1,78.46,77,61,3.4
232,Nueve De Julio,AR,2020-04-15 05:24:36,-35.44,-60.88,48.29,78,10,4.83
233,Ribeira Grande,PT,2020-04-15 05:21:04,38.52,-28.7,55.22,71,76,23.11
234,Lompoc,US,2020-04-15 05:23:19,34.64,-120.46,59.0,87,1,3.36
235,Laguna,US,2020-04-15 05:24:37,38.42,-121.42,66.2,44,1,4.7
236,Eureka,US,2020-04-15 05:24:06,40.8,-124.16,51.01,70,1,7.54
237,San Patricio,MX,2020-04-15 05:22:20,19.22,-104.7,71.2,67,72,4.07
238,Anamur,TR,2020-04-15 05:24:37,36.08,32.84,64.02,54,66,6.33
239,Kamaishi,JP,2020-04-15 05:24:38,39.27,141.88,59.0,51,75,18.34
240,Nishihara,JP,2020-04-15 05:20:58,26.18,127.76,69.8,52,75,10.29
241,Comodoro Rivadavia,AR,2020-04-15 05:24:38,-45.87,-67.5,53.6,66,78,3.36
242,Abu Samrah,SY,2020-04-15 05:24:38,35.3,37.18,67.57,28,0,6.35
243,Tezu,IN,2020-04-15 05:24:38,27.92,96.17,100.13,16,0,6.31
244,Sharanga,RU,2020-04-15 05:24:39,57.18,46.54,49.66,62,84,11.45
245,Mehamn,NO,2020-04-15 05:24:39,71.04,27.85,34.9,87,90,9.48
246,Port Hardy,CA,2020-04-15 05:24:39,50.7,-127.42,50.0,81,75,8.05
247,Bubaque,GW,2020-04-15 05:24:39,11.28,-15.83,79.05,60,84,9.1
248,Durango,MX,2020-04-15 05:24:40,24.83,-104.83,56.14,15,90,6.6
249,Avarua,CK,2020-04-15 05:24:40,-21.21,-159.78,75.2,78,86,3.36
250,Nokaneng,BW,2020-04-15 05:24:40,-19.67,22.27,74.82,38,52,2.55
251,The Valley,AI,2020-04-15 05:22:04,18.22,-63.06,80.01,83,40,10.29
252,Tokur,RU,2020-04-15 05:24:40,53.13,132.9,39.92,48,0,5.57
